,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
246,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,3,59990,11,2
247,1,1,2,1,0,1,6,0,2,1,3,0,0,0,1,3,82990,262,31
248,3,1,2,1,3,1,6,0,2,1,1,0,0,0,1,2,64190,0,0
249,3,1,2,1,0,1,6,0,2,1,0,2,3,0,0,3,70090,5,1
250,1,1,2,0,3,1,6,0,2,1,1,2,0,0,0,3,49990,45,3
251,6,1,2,1,3,1,6,0,2,1,0,2,3,0,0,2,55490,8,1
252,4,1,2,1,3,5,6,0,2,1,0,0,3,1,0,4,97990,3,1
253,1,1,2,6,3,1,6,0,2,1,2,1,0,0,1,3,54990,1681,227
254,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,59990,37,2
255,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,53990,61,2
256,4,1,2,1,0,1,6,0,2,1,0,2,0,0,1,3,66999,17,1
257,7,1,2,1,3,5,6,0,2,1,0,2,0,0,1,3,60990,17,1
258,1,1,2,0,3,1,6,0,2,1,0,2,0,0,1,3,47990,1625,152
259,4,1,2,1,3,1,6,0,2,0,0,2,0,0,1,3,59999,4,1
260,3,1,2,0,0,1,6,0,2,1,2,0,0,0,0,2,79990,0,0
261,1,1,2,0,3,1,6,0,2,1,2,1,0,0,0,2,63990,0,0
262,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,63990,17,1
263,1,1,2,1,0,1,6,0,2,1,0,0,0,0,0,2,59990,0,0
264,5,1,2,1,3,1,6,0,2,1,0,2,0,0,0,2,55990,0,0
266,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,63990,3,0
267,3,1,2,1,0,1,6,0,2,1,1,0,0,0,1,2,69490,0,0
268,3,1,2,1,0,1,6,0,2,1,0,0,0,1,1,2,89390,0,0
269,1,1,2,1,3,5,6,0,2,1,0,2,3,0,0,2,74990,0,0
270,5,1,2,1,3,1,6,0,2,1,0,0,2,1,1,3,64990,48,12
271,5,1,2,0,3,1,6,0,2,1,2,0,0,0,1,3,66490,282,36
272,3,1,2,1,0,1,6,0,2,1,1,0,0,0,1,2,89702,0,0
273,5,1,2,1,0,1,6,0,2,1,1,0,0,0,1,3,70990,67,4
274,1,1,2,1,0,1,6,0,2,1,0,0,0,1,1,2,58990,0,0
275,5,1,2,0,3,1,6,0,2,1,1,0,0,0,1,2,57500,0,0
276,3,1,2,1,3,1,6,0,2,1,1,0,0,1,1,3,79990,23,2
277,6,1,2,0,3,1,6,0,2,1,0,0,3,0,0,3,56541,677,87
278,1,1,2,1,0,1,6,0,2,1,0,2,3,0,0,2,59990,3,0
279,5,1,2,1,0,1,6,0,2,1,0,0,0,0,1,3,64990,46,4
280,3,1,2,1,3,1,6,0,2,1,0,2,0,0,0,2,61290,4,1
281,5,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,54990,9,1
282,5,1,2,1,3,1,6,0,2,1,0,0,0,0,1,3,59990,26,4
283,1,1,2,1,3,1,6,0,2,0,3,0,0,0,0,4,84990,5,0
284,4,1,2,1,3,1,6,0,2,1,0,2,0,0,1,3,72500,40,3
285,5,1,2,1,3,1,6,0,2,1,2,1,3,0,0,2,59990,44,6
286,5,1,2,1,3,1,6,0,2,1,0,0,0,1,1,3,87990,28,6
287,4,1,2,1,3,1,6,0,2,1,0,2,3,0,0,3,57990,1541,123
